ASD Acronym,Designation,Title of Standard,Link
,ISO 16428:2005,Implants for surgery  Test solutions and environmental conditions for static and dynamic corrosion tests on implantable materials and medical devices,https://www.iso.org/standard/30280.html
,ISO 16429:2004,Implants for surgery  Measurements of open-circuit potential to assess corrosion behaviour of metallic implantable materials and medical devices over extended time periods,https://www.iso.org/standard/30288.html
,ISO/TS 16955:2016,Prosthetics  Quantification of physical parameters of ankle foot devices and foot units,https://www.iso.org/standard/69821.html
,ISO/TS 17137:2021,Cardiovascular implants and extracorporeal systems  Cardiovascular absorbable implants,https://www.iso.org/standard/80231.html
,ISO 17327-1:2018,Non-active surgical implants  Implant coating  Part 1: General requirements,https://www.iso.org/standard/59591.html
,ISO/TR 17327-2:2021,Non-active surgical implants  Implant coating  Part 2: Reference standards related to coatings,https://www.iso.org/standard/81481.html
,ISO 17853:2011,Wear of implant materials  Polymer and metal wear particles  Isolation and characterization,https://www.iso.org/standard/57230.html
,ISO 18192-1:2011 /Amd 1:2018,Implants for surgery  Wear of total intervertebral spinal disc prostheses  Part 1: Loading and displacement parameters for wear testing and corresponding environmental conditions for test  Amendment 1,https://www.iso.org/standard/75489.html
,ISO 18192-2:2010,Implants for surgery  Wear of total intervertebral spinal disc prostheses  Part 2: Nucleus replacements,https://www.iso.org/standard/45696.html
,ISO 18192-3:2017,Implants for surgery  Wear of total intervertebral spinal disc prostheses  Part 3: Impingement-wear testing and corresponding environmental conditions for test of lumbar prostheses under adverse kinematic conditions,https://www.iso.org/standard/67605.html
,ISO 18193:2021 /CD Amd 1,Cardiovascular implants and artificial organs  Cannulae for extracorporeal circulation  Amendment 1,https://www.iso.org/standard/90300.html
,ISO 18241:2016 /Amd 1:2019,Cardiovascular implants and extracorporeal systems  Cardiopulmonary bypass systems  Venous bubble traps  Amendment 1: Connectors,https://www.iso.org/standard/74735.html
,ISO 18242:2016 /Amd 1:2023,Cardiovascular implants and extracorporeal systems  Centrifugal blood pumps  Amendment 1: Worst-case conditions for testing,https://www.iso.org/standard/77083.html
,ISO/TR 19024:2016,Evaluation of CPB devices relative to their capabilities of reducing the transmission of gaseous microemboli (GME) to a patient during cardiopulmonary bypass,https://www.iso.org/standard/63757.html
,ISO 19090:2018,Tissue-engineered medical products  Bioactive ceramics  Method to measure cell migration in porous materials,https://www.iso.org/standard/63936.html
,ISO 19213:2017,Implants for surgery  Test methods of material for use as a cortical bone model,https://www.iso.org/standard/64021.html
,ISO 19227:2018,Implants for surgery  Cleanliness of orthopedic implants  General requirements,https://www.iso.org/standard/66817.html
,ISO 19233-1:2017,Implants for surgery  Orthopaedic joint prosthesis  Part 1: Procedure for producing parametric 3D bone models from CT data of the knee,https://www.iso.org/standard/64072.html
,ISO 20160:2006,Implants for surgery  Metallic materials  Classification of microstructures for alpha+beta titanium alloy bars,https://www.iso.org/standard/34097.html
,ISO/TS 20721:2020,Implants for surgery  General guidelines and requirements for assessment of absorbable metallic implants,https://www.iso.org/standard/68916.html
,ISO 21063:2017,Prosthetics and orthotics  Soft orthoses  Uses functions classification and description,https://www.iso.org/standard/69812.html
,ISO 21064:2017,Prosthetics and orthotics  Foot orthotics  Uses functions classification and description,https://www.iso.org/standard/69813.html
,ISO 21065:2017,Prosthetics and orthotics  Terms relating to the treatment and rehabilitation of persons having a lower limb amputation,https://www.iso.org/standard/69814.html
,ISO 21534:2007,Non-active surgical implants  Joint replacement implants  Particular requirements,https://www.iso.org/standard/39024.html
,ISO 21536:2023,Non-active surgical implants  Joint replacement implants  Specific requirements for knee-joint replacement implants,https://www.iso.org/standard/77045.html
,ISO/TS 21560:2020,General requirements of tissue-engineered medical products,https://www.iso.org/standard/71086.html
,ISO/TR 21900:2018,Guidance for uncertainty analysis regarding the application of ISO/TS 10974,https://www.iso.org/standard/72119.html
,ISO 22523:2006,External limb prostheses and external orthoses  Requirements and test methods,https://www.iso.org/standard/37546.html
,ISO 22622:2019,Implants for surgery  Wear of total ankle-joint prostheses  Loading and displacement parameters for wear-testing machines with load or displacement control and corresponding environmental conditions for test,https://www.iso.org/standard/73612.html
,ISO 22675:2016,Prosthetics  Testing of ankle-foot devices and foot units  Requirements and test methods,https://www.iso.org/standard/70203.html
,ISO/TR 22676:2006,Prosthetics  Testing of ankle-foot devices and foot units  Guidance on the application of the test loading conditions of ISO 22675 and on the design of appropriate test equipment,https://www.iso.org/standard/40417.html
,ISO 22679:2021,Cardiovascular implants  Transcatheter cardiac occluders,https://www.iso.org/standard/73644.html
,ISO 22926:2023,Implants for surgery  Specification and verification of synthetic anatomical bone models for testing,https://www.iso.org/standard/81501.html
,ISO 23089-2:2021,Implants for surgery  Pre-clinical mechanical assessment of spinal implants and particular requirements  Part 2: Spinal intervertebral body fusion devices,https://www.iso.org/standard/74541.html
,ISO 23317:2014,Implants for surgery  In vitro evaluation for apatite-forming ability of implant materials,https://www.iso.org/standard/65054.html
,ISO 23500-1:2024,Preparation and quality management of fluids for haemodialysis and related therapies  Part 1: General requirements,https://www.iso.org/standard/84368.html
,ISO 23500-2:2024,Preparation and quality management of fluids for haemodialysis and related therapies  Part 2: Water treatment equipment for haemodialysis applications and related therapies,https://www.iso.org/standard/84369.html
,ISO 23500-3:2024,Preparation and quality management of fluids for haemodialysis and related therapies  Part 3: Water for haemodialysis and related therapies,https://www.iso.org/standard/84370.html
,ISO 23500-4:2024,Preparation and quality management of fluids for haemodialysis and related therapies  Part 4: Concentrates for haemodialysis and related therapies,https://www.iso.org/standard/84371.html
,ISO 23500-5:2024,Preparation and quality management of fluids for haemodialysis and related therapies  Part 5: Quality of dialysis fluid for haemodialysis and related therapies,https://www.iso.org/standard/84372.html
,ISO 23500:2014,Guidance for the preparation and quality management of fluids for haemodialysis and related therapies,https://www.iso.org/standard/61863.html
,ISO/TS 23810:2018,Cardiovascular implants and artificial organs  Checklists for use of extracorporeal circulation equipment,https://www.iso.org/standard/69838.html
,ISO/TS 24560-1:2022,Tissue-engineered medical products  MRI evaluation of cartilage  Part 1: Clinical evaluation of regenerative knee articular cartilage using delayed gadolinium-enhanced MRI of cartilage (dGEMRIC) and T2 mapping,https://www.iso.org/standard/81622.html
,ISO 24562:2022,Prosthetics  Geometrical aspects of lower limb prosthetic adapters,https://www.iso.org/standard/78959.html
,ISO 25539-1:2017,Cardiovascular implants  Endovascular devices  Part 1: Endovascular prostheses,https://www.iso.org/standard/66925.html
,ISO 25539-2:2020,Cardiovascular implants  Endovascular devices  Part 2: Vascular stents,https://www.iso.org/standard/69835.html
,ISO 25539-3:2011,Cardiovascular implants  Endovascular devices  Part 3: Vena cava filters,https://www.iso.org/standard/35888.html
,ISO 25539-4:2021,Cardiovascular implants  Endovascular devices  Part 4: Application of ISO 17327-1 for coated endovascular devices,https://www.iso.org/standard/77991.html
,ISO 26722:2014,Water treatment equipment for haemodialysis applications and related therapies,https://www.iso.org/standard/61864.html
,ISO 27185:2012,Cardiac rhythm management devices  Symbols to be used with cardiac rhythm management device labels and information to be supplied  General requirements,https://www.iso.org/standard/52552.html
,ISO 27186:2020,Active implantable medical devices  Four-pole connector system for implantable cardiac rhythm management devices  Dimensional and test requirements,https://www.iso.org/standard/72920.html
,ISO 29781:2008,Prostheses and orthoses   Factors to be included when describing physical activity of a person who has had a lower limb amputation(s) or who has a deficiency of a lower limb segment(s) present at birth,https://www.iso.org/standard/45681.html
,ISO 29782:2022,Prostheses and orthoses  Factors to be considered when specifying a prosthesis for a person who has had a lower limb amputation,https://www.iso.org/standard/77460.html
,ISO 29783-1:2008,Prosthetics and orthotics  Vocabulary  Part 1: Normal gait,https://www.iso.org/standard/45683.html
,ISO 29783-2:2015,Prosthetics and orthotics  Vocabulary  Part 2: Prosthetic gait,https://www.iso.org/standard/63539.html
,ISO 29783-3:2016,Prosthetics and orthotics  Vocabulary  Part 3: Pathological gait (excluding prosthetic gait),https://www.iso.org/standard/66398.html
,ISO/TS 37137-1:2021,Biological evaluation of absorbable medical devices  Part 1: General requirements,https://www.iso.org/standard/73582.html
,ISO/TR 37137:2014,Cardiovascular biological evaluation of medical devices  Guidance for absorbable implants,https://www.iso.org/standard/64887.html
,ISO/TS 6838:2024,Ophthalmic optics  Contact lenses  Tolerances and methods for measurement of multifocal contact lens addition power,https://www.iso.org/standard/82402.html
,ISO 7921:2024,Ophthalmic optics and instruments  Near reading charts,https://www.iso.org/standard/82973.html
,ISO 7998:2005,Ophthalmic optics  Spectacle frames  Lists of equivalent terms and vocabulary,https://www.iso.org/standard/41203.html
,ISO 8320-1:2003,Contact lenses and contact lens care products  Vocabulary  Part 1: Contact lenses,https://www.iso.org/standard/36999.html
,ISO 8320-2:2001,Contact lenses and contact lens care products  Vocabulary  Part 2: Contact lens care products,https://www.iso.org/standard/25343.html
,ISO 8320:1986,Optics and optical instruments  Contact lenses  Vocabulary and symbols,https://www.iso.org/standard/15444.html
,ISO 8321-1:2002,Ophthalmic optics  Specifications for material optical and dimensional properties of contact lenses  Part 1: Rigid corneal and scleral contact lenses,https://www.iso.org/standard/30614.html
,ISO 8321-2:2000,Ophthalmic optics  Specifications for material optical and dimensional properties of contact lenses  Part 2: Single-vision hydrogel contact lenses,https://www.iso.org/standard/15446.html
,ISO 8429:1986,Optics and optical instruments  Ophthalmology  Graduated dial scale,https://www.iso.org/standard/15607.html
,ISO 8596:2017 /Amd 1:2019,Ophthalmic optics  Visual acuity testing  Standard and clinical optotypes and their presentation  Amendment 1,https://www.iso.org/standard/75924.html
,ISO 8597:1994 /Cor 1:1995,Optics and optical instruments  Visual acuity testing  Method of correlating optotypes  Technical Corrigendum 1,https://www.iso.org/standard/26289.html
